[0.000000] (-) TimerEvent: {}
[0.000235] (-) JobUnselected: {'identifier': 'MAVLink_f446re'}
[0.000354] (-) JobUnselected: {'identifier': 'blue_seiretu_description'}
[0.000387] (-) JobUnselected: {'identifier': 'catch_gazebo_ros2_control'}
[0.000401] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000414] (-) JobUnselected: {'identifier': 'd415_rgb_depth_3d'}
[0.000426] (-) JobUnselected: {'identifier': 'dynamixel_controller'}
[0.000438] (-) JobUnselected: {'identifier': 'dynamixel_controller_client'}
[0.000450] (-) JobUnselected: {'identifier': 'dynamixel_controller_gui'}
[0.000462] (-) JobUnselected: {'identifier': 'dynamixel_sdk'}
[0.000473] (-) JobUnselected: {'identifier': 'dynamixel_sdk_custom_interfaces'}
[0.000497] (-) JobUnselected: {'identifier': 'dynamixel_sdk_examples'}
[0.000668] (-) JobUnselected: {'identifier': 'field_description'}
[0.000699] (-) JobUnselected: {'identifier': 'hello_moveit'}
[0.000718] (-) JobUnselected: {'identifier': 'launch_param_builder'}
[0.000735] (-) JobUnselected: {'identifier': 'mavlink_controller_client'}
[0.000752] (-) JobUnselected: {'identifier': 'mavlink_gui_tester'}
[0.000769] (-) JobUnselected: {'identifier': 'moveit'}
[0.000786] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000803] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000820] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000837] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000853] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000870] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000886] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000903] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000920] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000936] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000952] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000969] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000985] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.001001] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.001017] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.001034] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.001050] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.001066] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.001082] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.001099] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.001115] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.001131] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.001148] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001164] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001181] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001196] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001212] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001228] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001245] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001262] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001278] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001294] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001309] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001326] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001342] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001358] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001374] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001390] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001406] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001422] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001452] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001469] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001509] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001530] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001540] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001548] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001556] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001564] (-) JobUnselected: {'identifier': 'mtc_tutorial'}
[0.001572] (-) JobUnselected: {'identifier': 'object_description'}
[0.001579] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001587] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001594] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.001603] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.001610] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.001618] (-) JobUnselected: {'identifier': 'realsense2_ros_mqtt_bridge'}
[0.001625] (-) JobUnselected: {'identifier': 'red_seiretu_description'}
[0.001633] (-) JobUnselected: {'identifier': 'robot_config'}
[0.001640] (-) JobUnselected: {'identifier': 'rogilink_flex_example_py'}
[0.001648] (-) JobUnselected: {'identifier': 'rogilink_flex_interfaces'}
[0.001656] (-) JobUnselected: {'identifier': 'rogilink_flex_lib'}
[0.001671] (-) JobUnselected: {'identifier': 'ros_tcp_endpoint'}
[0.001679] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.001688] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001696] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.001704] (-) JobUnselected: {'identifier': 'stm32_mavlink_interface'}
[0.001712] (-) JobUnselected: {'identifier': 'trac_ik'}
[0.001719] (-) JobUnselected: {'identifier': 'trac_ik_kinematics_plugin'}
[0.001727] (-) JobUnselected: {'identifier': 'trac_ik_lib'}
[0.001735] (-) JobUnselected: {'identifier': 'urdf_0816_description'}
[0.001746] (rogilink_flex_gui) JobQueued: {'identifier': 'rogilink_flex_gui', 'dependencies': OrderedDict()}
[0.001757] (rogilink_flex) JobQueued: {'identifier': 'rogilink_flex', 'dependencies': OrderedDict([('rogilink_flex_interfaces', '/home/a/ws_moveit2/install/rogilink_flex_interfaces')])}
[0.001769] (rogilink_flex_gui) JobStarted: {'identifier': 'rogilink_flex_gui'}
[0.009226] (rogilink_flex) JobStarted: {'identifier': 'rogilink_flex'}
[0.016622] (rogilink_flex) JobEnded: {'identifier': 'rogilink_flex', 'rc': 1}
[0.016945] (rogilink_flex_gui) JobEnded: {'identifier': 'rogilink_flex_gui', 'rc': 'SIGINT'}
[0.027174] (-) EventReactorShutdown: {}
