[0.000000] (-) TimerEvent: {}
[0.000534] (-) JobUnselected: {'identifier': 'catch_gazebo_ros2_control'}
[0.000768] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000798] (-) JobUnselected: {'identifier': 'collada_parser'}
[0.000830] (-) JobUnselected: {'identifier': 'collada_urdf'}
[0.000854] (-) JobUnselected: {'identifier': 'com'}
[0.000982] (-) JobUnselected: {'identifier': 'dynamixel_sdk'}
[0.001021] (-) JobUnselected: {'identifier': 'dynamixel_sdk_custom_interfaces'}
[0.001087] (-) JobUnselected: {'identifier': 'dynamixel_sdk_examples'}
[0.001259] (-) JobUnselected: {'identifier': 'field_description'}
[0.001323] (-) JobUnselected: {'identifier': 'field_description'}
[0.001346] (-) JobUnselected: {'identifier': 'hello_moveit'}
[0.001363] (-) JobUnselected: {'identifier': 'launch_param_builder'}
[0.001380] (-) JobUnselected: {'identifier': 'left_arm_ikfast_plugin'}
[0.001397] (-) JobUnselected: {'identifier': 'moveit'}
[0.001413] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.001429] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.001446] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.001462] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.001477] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.001493] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.001510] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.001525] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.001540] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.001556] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.001574] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.001589] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.001605] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.001621] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.001636] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.001652] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.001668] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.001685] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.001702] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.001718] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.001734] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.001750] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.001765] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001781] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001797] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001813] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001828] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001844] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001860] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001876] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001892] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001908] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001924] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001939] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001955] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001971] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001986] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.002002] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.002017] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.002033] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.002056] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.002091] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.002109] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.002149] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.002165] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.002181] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.002197] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.002214] (-) JobUnselected: {'identifier': 'mtc_tutorial'}
[0.002230] (-) JobUnselected: {'identifier': 'object_description'}
[0.002246] (-) JobUnselected: {'identifier': 'object_description'}
[0.002262] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.002278] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.002294] (-) JobUnselected: {'identifier': 'right_arm_ikfast_plugin'}
[0.002316] (-) JobUnselected: {'identifier': 'robot_config'}
[0.002332] (-) JobUnselected: {'identifier': 'ros_tcp_endpoint'}
[0.002347] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.002362] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.002378] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.002394] (-) JobUnselected: {'identifier': 'urdf_0816_description'}
[0.002410] (-) JobUnselected: {'identifier': 'urdf_0816_description'}
[0.002429] (dynamixel_controller) JobQueued: {'identifier': 'dynamixel_controller', 'dependencies': OrderedDict([('dynamixel_sdk', '/home/a/ws_moveit2/install/dynamixel_sdk')])}
[0.002453] (dynamixel_controller_gui) JobQueued: {'identifier': 'dynamixel_controller_gui', 'dependencies': OrderedDict([('dynamixel_sdk', '/home/a/ws_moveit2/install/dynamixel_sdk'), ('dynamixel_controller', '/home/a/ws_moveit2/install/dynamixel_controller')])}
[0.002475] (dynamixel_controller) JobStarted: {'identifier': 'dynamixel_controller'}
[0.007954] (dynamixel_controller) JobEnded: {'identifier': 'dynamixel_controller', 'rc': 1}
[0.018220] (dynamixel_controller_gui) JobSkipped: {'identifier': 'dynamixel_controller_gui'}
[0.018272] (-) EventReactorShutdown: {}
